sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),species_name,species,kmeans_cluster,som_cluster,sepal_area,petal_area,sepal_to_petal_ratio
5.1,3.5,1.4,0.2,setosa,0,1,2,17.849999999999998,0.27999999999999997,63.75
4.9,3.0,1.4,0.2,setosa,0,1,2,14.700000000000001,0.27999999999999997,52.50000000000001
4.7,3.2,1.3,0.2,setosa,0,1,2,15.040000000000001,0.26,57.84615384615385
4.6,3.1,1.5,0.2,setosa,0,1,2,14.26,0.30000000000000004,47.533333333333324
5.0,3.6,1.4,0.2,setosa,0,1,2,18.0,0.27999999999999997,64.28571428571429
5.4,3.9,1.7,0.4,setosa,0,1,2,21.060000000000002,0.68,30.97058823529412
4.6,3.4,1.4,0.3,setosa,0,1,2,15.639999999999999,0.42,37.238095238095234
5.0,3.4,1.5,0.2,setosa,0,1,2,17.0,0.30000000000000004,56.66666666666666
4.4,2.9,1.4,0.2,setosa,0,1,2,12.76,0.27999999999999997,45.57142857142858
4.9,3.1,1.5,0.1,setosa,0,1,2,15.190000000000001,0.15000000000000002,101.26666666666667
5.4,3.7,1.5,0.2,setosa,0,1,2,19.980000000000004,0.30000000000000004,66.60000000000001
4.8,3.4,1.6,0.2,setosa,0,1,2,16.32,0.32000000000000006,50.99999999999999
4.8,3.0,1.4,0.1,setosa,0,1,2,14.399999999999999,0.13999999999999999,102.85714285714286
4.3,3.0,1.1,0.1,setosa,0,1,2,12.899999999999999,0.11000000000000001,117.27272727272724
5.8,4.0,1.2,0.2,setosa,0,1,2,23.2,0.24,96.66666666666667
5.7,4.4,1.5,0.4,setosa,0,1,2,25.080000000000002,0.6000000000000001,41.8
5.4,3.9,1.3,0.4,setosa,0,1,2,21.060000000000002,0.52,40.5
5.1,3.5,1.4,0.3,setosa,0,1,2,17.849999999999998,0.42,42.5
5.7,3.8,1.7,0.3,setosa,0,1,2,21.66,0.51,42.470588235294116
5.1,3.8,1.5,0.3,setosa,0,1,2,19.38,0.44999999999999996,43.06666666666667
5.4,3.4,1.7,0.2,setosa,0,1,2,18.36,0.34,53.99999999999999
5.1,3.7,1.5,0.4,setosa,0,1,2,18.87,0.6000000000000001,31.449999999999996
4.6,3.6,1.0,0.2,setosa,0,1,2,16.56,0.2,82.79999999999998
5.1,3.3,1.7,0.5,setosa,0,1,2,16.83,0.85,19.799999999999997
4.8,3.4,1.9,0.2,setosa,0,1,2,16.32,0.38,42.94736842105263
5.0,3.0,1.6,0.2,setosa,0,1,2,15.0,0.32000000000000006,46.87499999999999
5.0,3.4,1.6,0.4,setosa,0,1,2,17.0,0.6400000000000001,26.562499999999996
5.2,3.5,1.5,0.2,setosa,0,1,2,18.2,0.30000000000000004,60.66666666666666
5.2,3.4,1.4,0.2,setosa,0,1,2,17.68,0.27999999999999997,63.142857142857146
4.7,3.2,1.6,0.2,setosa,0,1,2,15.040000000000001,0.32000000000000006,46.99999999999999
4.8,3.1,1.6,0.2,setosa,0,1,2,14.879999999999999,0.32000000000000006,46.499999999999986
5.4,3.4,1.5,0.4,setosa,0,1,2,18.36,0.6000000000000001,30.599999999999994
5.2,4.1,1.5,0.1,setosa,0,1,2,21.32,0.15000000000000002,142.13333333333333
5.5,4.2,1.4,0.2,setosa,0,1,2,23.1,0.27999999999999997,82.50000000000001
4.9,3.1,1.5,0.1,setosa,0,1,2,15.190000000000001,0.15000000000000002,101.26666666666667
5.0,3.2,1.2,0.2,setosa,0,1,2,16.0,0.24,66.66666666666667
5.5,3.5,1.3,0.2,setosa,0,1,2,19.25,0.26,74.03846153846153
4.9,3.1,1.5,0.1,setosa,0,1,2,15.190000000000001,0.15000000000000002,101.26666666666667
4.4,3.0,1.3,0.2,setosa,0,1,2,13.200000000000001,0.26,50.769230769230774
5.1,3.4,1.5,0.2,setosa,0,1,2,17.34,0.30000000000000004,57.79999999999999
5.0,3.5,1.3,0.3,setosa,0,1,2,17.5,0.39,44.87179487179487
4.5,2.3,1.3,0.3,setosa,0,1,2,10.35,0.39,26.538461538461537
4.4,3.2,1.3,0.2,setosa,0,1,2,14.080000000000002,0.26,54.15384615384616
5.0,3.5,1.6,0.6,setosa,0,1,2,17.5,0.96,18.229166666666668
5.1,3.8,1.9,0.4,setosa,0,1,2,19.38,0.76,25.5
4.8,3.0,1.4,0.3,setosa,0,1,2,14.399999999999999,0.42,34.285714285714285
5.1,3.8,1.6,0.2,setosa,0,1,2,19.38,0.32000000000000006,60.562499999999986
4.6,3.2,1.4,0.2,setosa,0,1,2,14.719999999999999,0.27999999999999997,52.57142857142857
5.3,3.7,1.5,0.2,setosa,0,1,2,19.61,0.30000000000000004,65.36666666666666
5.0,3.3,1.4,0.2,setosa,0,1,2,16.5,0.27999999999999997,58.92857142857144
7.0,3.2,4.7,1.4,versicolor,1,2,0,22.400000000000002,6.58,3.4042553191489366
6.4,3.2,4.5,1.5,versicolor,1,2,0,20.480000000000004,6.75,3.034074074074075
6.9,3.1,4.9,1.5,versicolor,1,2,0,21.39,7.3500000000000005,2.910204081632653
5.5,2.3,4.0,1.3,versicolor,1,0,1,12.649999999999999,5.2,2.4326923076923075
6.5,2.8,4.6,1.5,versicolor,1,0,0,18.2,6.8999999999999995,2.63768115942029
5.7,2.8,4.5,1.3,versicolor,1,0,1,15.959999999999999,5.8500000000000005,2.728205128205128
6.3,3.3,4.7,1.6,versicolor,1,2,0,20.79,7.5200000000000005,2.764627659574468
4.9,2.4,3.3,1.0,versicolor,1,0,1,11.76,3.3,3.563636363636364
6.6,2.9,4.6,1.3,versicolor,1,0,0,19.139999999999997,5.9799999999999995,3.20066889632107
5.2,2.7,3.9,1.4,versicolor,1,0,1,14.040000000000001,5.46,2.5714285714285716
5.0,2.0,3.5,1.0,versicolor,1,0,1,10.0,3.5,2.857142857142857
5.9,3.0,4.2,1.5,versicolor,1,0,1,17.700000000000003,6.300000000000001,2.8095238095238098
6.0,2.2,4.0,1.0,versicolor,1,0,1,13.200000000000001,4.0,3.3000000000000003
6.1,2.9,4.7,1.4,versicolor,1,0,0,17.689999999999998,6.58,2.6884498480243155
5.6,2.9,3.6,1.3,versicolor,1,0,1,16.24,4.680000000000001,3.4700854700854693
6.7,3.1,4.4,1.4,versicolor,1,2,0,20.77,6.16,3.3717532467532467
5.6,3.0,4.5,1.5,versicolor,1,0,1,16.799999999999997,6.75,2.4888888888888885
5.8,2.7,4.1,1.0,versicolor,1,0,1,15.66,4.1,3.8195121951219515
6.2,2.2,4.5,1.5,versicolor,1,0,0,13.640000000000002,6.75,2.020740740740741
5.6,2.5,3.9,1.1,versicolor,1,0,1,14.0,4.29,3.2634032634032635
5.9,3.2,4.8,1.8,versicolor,1,2,0,18.880000000000003,8.64,2.185185185185185
6.1,2.8,4.0,1.3,versicolor,1,0,1,17.08,5.2,3.284615384615384
6.3,2.5,4.9,1.5,versicolor,1,0,0,15.75,7.3500000000000005,2.142857142857143
6.1,2.8,4.7,1.2,versicolor,1,0,1,17.08,5.64,3.028368794326241
6.4,2.9,4.3,1.3,versicolor,1,0,0,18.56,5.59,3.3202146690518783
6.6,3.0,4.4,1.4,versicolor,1,2,0,19.799999999999997,6.16,3.214285714285714
6.8,2.8,4.8,1.4,versicolor,1,2,0,19.04,6.72,2.8333333333333335
6.7,3.0,5.0,1.7,versicolor,1,2,0,20.1,8.5,2.364705882352941
6.0,2.9,4.5,1.5,versicolor,1,0,0,17.4,6.75,2.5777777777777775
5.7,2.6,3.5,1.0,versicolor,1,0,1,14.82,3.5,4.234285714285714
5.5,2.4,3.8,1.1,versicolor,1,0,1,13.2,4.18,3.1578947368421053
5.5,2.4,3.7,1.0,versicolor,1,0,1,13.2,3.7,3.567567567567567
5.8,2.7,3.9,1.2,versicolor,1,0,1,15.66,4.68,3.3461538461538463
6.0,2.7,5.1,1.6,versicolor,1,0,0,16.200000000000003,8.16,1.985294117647059
5.4,3.0,4.5,1.5,versicolor,1,0,1,16.200000000000003,6.75,2.4000000000000004
6.0,3.4,4.5,1.6,versicolor,1,2,0,20.4,7.2,2.833333333333333
6.7,3.1,4.7,1.5,versicolor,1,2,0,20.77,7.050000000000001,2.9460992907801415
6.3,2.3,4.4,1.3,versicolor,1,0,0,14.489999999999998,5.720000000000001,2.5332167832167825
5.6,3.0,4.1,1.3,versicolor,1,0,1,16.799999999999997,5.33,3.1519699812382735
5.5,2.5,4.0,1.3,versicolor,1,0,1,13.75,5.2,2.644230769230769
5.5,2.6,4.4,1.2,versicolor,1,0,1,14.3,5.28,2.7083333333333335
6.1,3.0,4.6,1.4,versicolor,1,0,0,18.299999999999997,6.4399999999999995,2.841614906832298
5.8,2.6,4.0,1.2,versicolor,1,0,1,15.08,4.8,3.1416666666666666
5.0,2.3,3.3,1.0,versicolor,1,0,1,11.5,3.3,3.484848484848485
5.6,2.7,4.2,1.3,versicolor,1,0,1,15.12,5.460000000000001,2.7692307692307687
5.7,3.0,4.2,1.2,versicolor,1,0,1,17.1,5.04,3.3928571428571432
5.7,2.9,4.2,1.3,versicolor,1,0,1,16.53,5.460000000000001,3.0274725274725274
6.2,2.9,4.3,1.3,versicolor,1,0,1,17.98,5.59,3.216457960644007
5.1,2.5,3.0,1.1,versicolor,1,0,1,12.75,3.3000000000000003,3.8636363636363633
5.7,2.8,4.1,1.3,versicolor,1,0,1,15.959999999999999,5.33,2.99437148217636
6.3,3.3,6.0,2.5,virginica,2,2,0,20.79,15.0,1.386
5.8,2.7,5.1,1.9,virginica,2,0,0,15.66,9.69,1.6160990712074303
7.1,3.0,5.9,2.1,virginica,2,2,0,21.299999999999997,12.39,1.7191283292978206
6.3,2.9,5.6,1.8,virginica,2,2,0,18.27,10.08,1.8125
6.5,3.0,5.8,2.2,virginica,2,2,0,19.5,12.76,1.5282131661442007
7.6,3.0,6.6,2.1,virginica,2,2,0,22.799999999999997,13.86,1.6450216450216448
4.9,2.5,4.5,1.7,virginica,2,0,1,12.25,7.6499999999999995,1.6013071895424837
7.3,2.9,6.3,1.8,virginica,2,2,0,21.169999999999998,11.34,1.8668430335097
6.7,2.5,5.8,1.8,virginica,2,2,0,16.75,10.44,1.6044061302681993
7.2,3.6,6.1,2.5,virginica,2,2,0,25.92,15.25,1.6996721311475411
6.5,3.2,5.1,2.0,virginica,2,2,0,20.8,10.2,2.03921568627451
6.4,2.7,5.3,1.9,virginica,2,2,0,17.28,10.069999999999999,1.7159880834160877
6.8,3.0,5.5,2.1,virginica,2,2,0,20.4,11.55,1.766233766233766
5.7,2.5,5.0,2.0,virginica,2,0,0,14.25,10.0,1.425
5.8,2.8,5.1,2.4,virginica,2,0,0,16.24,12.239999999999998,1.326797385620915
6.4,3.2,5.3,2.3,virginica,2,2,0,20.480000000000004,12.19,1.680065627563577
6.5,3.0,5.5,1.8,virginica,2,2,0,19.5,9.9,1.9696969696969697
7.7,3.8,6.7,2.2,virginica,2,2,0,29.259999999999998,14.740000000000002,1.9850746268656712
7.7,2.6,6.9,2.3,virginica,2,2,0,20.02,15.87,1.2614996849401388
6.0,2.2,5.0,1.5,virginica,2,0,0,13.200000000000001,7.5,1.7600000000000002
6.9,3.2,5.7,2.3,virginica,2,2,0,22.080000000000002,13.11,1.6842105263157896
5.6,2.8,4.9,2.0,virginica,2,0,0,15.679999999999998,9.8,1.5999999999999996
7.7,2.8,6.7,2.0,virginica,2,2,0,21.56,13.4,1.6089552238805969
6.3,2.7,4.9,1.8,virginica,2,0,0,17.01,8.82,1.9285714285714286
6.7,3.3,5.7,2.1,virginica,2,2,0,22.11,11.97,1.8471177944862154
7.2,3.2,6.0,1.8,virginica,2,2,0,23.040000000000003,10.8,2.1333333333333333
6.2,2.8,4.8,1.8,virginica,2,0,0,17.36,8.64,2.009259259259259
6.1,3.0,4.9,1.8,virginica,2,2,0,18.299999999999997,8.82,2.0748299319727885
6.4,2.8,5.6,2.1,virginica,2,2,0,17.919999999999998,11.76,1.5238095238095237
7.2,3.0,5.8,1.6,virginica,2,2,0,21.6,9.28,2.327586206896552
7.4,2.8,6.1,1.9,virginica,2,2,0,20.72,11.589999999999998,1.7877480586712686
7.9,3.8,6.4,2.0,virginica,2,2,0,30.02,12.8,2.3453125
6.4,2.8,5.6,2.2,virginica,2,2,0,17.919999999999998,12.32,1.4545454545454544
6.3,2.8,5.1,1.5,virginica,2,0,0,17.639999999999997,7.6499999999999995,2.3058823529411763
6.1,2.6,5.6,1.4,virginica,2,0,0,15.86,7.839999999999999,2.0229591836734695
7.7,3.0,6.1,2.3,virginica,2,2,0,23.1,14.029999999999998,1.6464718460441914
6.3,3.4,5.6,2.4,virginica,2,2,0,21.419999999999998,13.44,1.59375
6.4,3.1,5.5,1.8,virginica,2,2,0,19.840000000000003,9.9,2.0040404040404045
6.0,3.0,4.8,1.8,virginica,2,0,0,18.0,8.64,2.083333333333333
6.9,3.1,5.4,2.1,virginica,2,2,0,21.39,11.340000000000002,1.886243386243386
6.7,3.1,5.6,2.4,virginica,2,2,0,20.77,13.44,1.5453869047619049
6.9,3.1,5.1,2.3,virginica,2,2,0,21.39,11.729999999999999,1.823529411764706
5.8,2.7,5.1,1.9,virginica,2,0,0,15.66,9.69,1.6160990712074303
6.8,3.2,5.9,2.3,virginica,2,2,0,21.76,13.57,1.6035372144436257
6.7,3.3,5.7,2.5,virginica,2,2,0,22.11,14.25,1.551578947368421
6.7,3.0,5.2,2.3,virginica,2,2,0,20.1,11.959999999999999,1.6806020066889635
6.3,2.5,5.0,1.9,virginica,2,0,0,15.75,9.5,1.6578947368421053
6.5,3.0,5.2,2.0,virginica,2,2,0,19.5,10.4,1.875
6.2,3.4,5.4,2.3,virginica,2,2,0,21.08,12.42,1.6972624798711753
5.9,3.0,5.1,1.8,virginica,2,0,0,17.700000000000003,9.18,1.9281045751633992
